loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_rewards/chosen,eval_rewards/rejected,eval_rewards/accuracies,eval_rewards/margins,eval_logps/rejected,eval_logps/chosen,eval_logits/rejected,eval_logits/chosen,eval_nll_loss,eval_log_odds_ratio,eval_log_odds_chosen,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.192,4.348588943481445,0.0,0.058823529411764705,1,,,,,,,,,,,,,,,,,,,,
2.8805,4.228037357330322,4e-05,0.11764705882352941,2,,,,,,,,,,,,,,,,,,,,
2.9598,3.8554251194000244,8e-05,0.17647058823529413,3,,,,,,,,,,,,,,,,,,,,
2.8264,2.9477829933166504,0.00012,0.23529411764705882,4,,,,,,,,,,,,,,,,,,,,
2.3284,2.1953885555267334,0.00016,0.29411764705882354,5,,,,,,,,,,,,,,,,,,,,
2.0997,8.646814346313477,0.0002,0.35294117647058826,6,,,,,,,,,,,,,,,,,,,,
2.2185,4.353907108306885,0.00019952380952380954,0.4117647058823529,7,,,,,,,,,,,,,,,,,,,,
2.1251,4.430548191070557,0.00019904761904761907,0.47058823529411764,8,,,,,,,,,,,,,,,,,,,,
1.9429,1.665067195892334,0.0001985714285714286,0.5294117647058824,9,,,,,,,,,,,,,,,,,,,,
1.8292,0.9023151397705078,0.0001980952380952381,0.5882352941176471,10,,,,,,,,,,,,,,,,,,,,
1.5917,0.761723518371582,0.00019761904761904763,0.6470588235294118,11,,,,,,,,,,,,,,,,,,,,
1.4738,0.7028282880783081,0.00019714285714285716,0.7058823529411765,12,,,,,,,,,,,,,,,,,,,,
1.3335,0.8303440809249878,0.00019666666666666666,0.7647058823529411,13,,,,,,,,,,,,,,,,,,,,
1.1643,0.913334846496582,0.0001961904761904762,0.8235294117647058,14,,,,,,,,,,,,,,,,,,,,
1.0185,0.7376478314399719,0.00019571428571428572,0.8823529411764706,15,,,,,,,,,,,,,,,,,,,,
0.8925,0.6773205399513245,0.00019523809523809525,0.9411764705882353,16,,,,,,,,,,,,,,,,,,,,
0.8235,0.6101706027984619,0.00019476190476190477,1.0,17,,,,,,,,,,,,,,,,,,,,
0.8147,0.49446767568588257,0.0001942857142857143,1.0588235294117647,18,,,,,,,,,,,,,,,,,,,,
0.7662,0.46704742312431335,0.0001938095238095238,1.1176470588235294,19,,,,,,,,,,,,,,,,,,,,
0.7633,0.4524778723716736,0.00019333333333333333,1.1764705882352942,20,,,,,,,,,,,,,,,,,,,,
0.723,0.4665294587612152,0.00019285714285714286,1.2352941176470589,21,,,,,,,,,,,,,,,,,,,,
0.7646,0.44139179587364197,0.0001923809523809524,1.2941176470588236,22,,,,,,,,,,,,,,,,,,,,
0.7276,0.4877832531929016,0.00019190476190476192,1.3529411764705883,23,,,,,,,,,,,,,,,,,,,,
0.6559,0.49435746669769287,0.00019142857142857145,1.4117647058823528,24,,,,,,,,,,,,,,,,,,,,
0.6517,0.551774799823761,0.00019095238095238098,1.4705882352941178,25,,,,,,,,,,,,,,,,,,,,
0.6424,0.7913434505462646,0.00019047619047619048,1.5294117647058822,26,,,,,,,,,,,,,,,,,,,,
0.7321,0.4480411112308502,0.00019,1.5882352941176472,27,,,,,,,,,,,,,,,,,,,,
0.6235,0.44281935691833496,0.0001895238095238095,1.6470588235294117,28,,,,,,,,,,,,,,,,,,,,
0.609,0.36440539360046387,0.00018904761904761904,1.7058823529411766,29,,,,,,,,,,,,,,,,,,,,
0.6659,0.3845546245574951,0.00018857142857142857,1.7647058823529411,30,,,,,,,,,,,,,,,,,,,,
0.6268,0.37600550055503845,0.0001880952380952381,1.8235294117647058,31,,,,,,,,,,,,,,,,,,,,
0.6051,0.35634031891822815,0.00018761904761904763,1.8823529411764706,32,,,,,,,,,,,,,,,,,,,,
0.6834,0.3490060567855835,0.00018714285714285716,1.9411764705882353,33,,,,,,,,,,,,,,,,,,,,
0.6001,0.42124420404434204,0.0001866666666666667,2.0,34,,,,,,,,,,,,,,,,,,,,
